,ZEROX_v4_started_ZEROX_v4_won,ZEROX_v5_started_ZEROX_v4_won,ZEROX_v4_started_Tie,ZEROX_v5_started_Tie,ZEROX_v4_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,31.0,,,,,
1,,,,,32.0,
2,,,,,60.0,
3,,,,,,19.0
4,,,,,,11.0
5,25.0,,,,,
6,,,,,,11.0
7,,,,,26.0,
8,,,,,,9.0
9,,,,,,33.0
10,33.0,,,,,
11,,,,,,9.0
12,27.0,,,,,
13,,,,,58.0,
14,,,,,,9.0
15,33.0,,,,,
16,25.0,,,,,
17,,,,,,9.0
18,,,,,,13.0
19,,,,,,9.0
20,,,,,52.0,
21,,,,,,13.0
22,,,,,,11.0
23,47.0,,,,,
24,27.0,,,,,
25,29.0,,,,,
26,,,,,,11.0
27,23.0,,,,,
28,29.0,,,,,
29,,,,,20.0,
30,,,,,,9.0
31,,,,,,27.0
32,29.0,,,,,
33,,,,,,9.0
34,21.0,,,,,
35,,,,,,9.0
36,19.0,,,,,
37,,,,,40.0,
38,,,,,,13.0
39,,,,,36.0,
40,,,,,34.0,
41,27.0,,,,,
42,17.0,,,,,
43,31.0,,,,,
44,,,,,,9.0
45,,,,,,11.0
46,31.0,,,,,
47,,,,,,21.0
48,35.0,,,,,
49,,,,,,11.0
