,FLAT_v1_started_FLAT_v1_won,FLAT_v2_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v2_started_Tie,FLAT_v1_started_FLAT_v2_won,FLAT_v2_started_FLAT_v2_won
0,,,,,34.0,
1,9.0,,,,,
2,,,,,,7.0
3,,,,,,7.0
4,,,,,14.0,
5,,,,,14.0,
6,,,,,,9.0
7,,,,,,15.0
8,,,,,8.0,
9,,,,,14.0,
10,,,,,,7.0
11,19.0,,,,,
12,21.0,,,,,
13,11.0,,,,,
14,,,,,14.0,
15,,,,,34.0,
16,,,,,14.0,
17,11.0,,,,,
18,,,,,12.0,
19,,,,,16.0,
20,,,,,,9.0
21,,12.0,,,,
22,,,,,20.0,
23,,,,,20.0,
24,,,,,10.0,
25,11.0,,,,,
26,,,,,,9.0
27,,,,,12.0,
28,,,36.0,,,
29,,,,,,9.0
30,,,,,,9.0
31,,,,,,7.0
32,15.0,,,,,
33,13.0,,,,,
34,,,,,14.0,
35,,,,,12.0,
36,,,,,,9.0
37,,,,,,9.0
38,,,,,10.0,
39,,,,,,7.0
40,,,,,,7.0
41,,,,,,7.0
42,11.0,,,,,
43,,,,,10.0,
44,11.0,,,,,
45,,,,,,9.0
46,,,,,,11.0
47,,,,,,9.0
48,,10.0,,,,
49,9.0,,,,,
