,FLAT_v3_started_FLAT_v3_won,UCT_6000_started_FLAT_v3_won,FLAT_v3_started_Tie,UCT_6000_started_Tie,FLAT_v3_started_UCT_6000_won,UCT_6000_started_UCT_6000_won
0,,,,,,17.0
1,,,,,,29.0
2,,,,,24.0,
3,,,,,,13.0
4,15.0,,,,,
5,,,,,20.0,
6,,,,,,11.0
7,,,,,14.0,
8,,,,,,13.0
9,,,,,14.0,
10,,,,,16.0,
11,,,,,,17.0
12,,,,,24.0,
13,,,,,24.0,
14,,10.0,,,,
15,,,,,16.0,
16,,,,,,17.0
17,,,,,,19.0
18,,,,,,11.0
19,,,,,10.0,
20,,,,,,15.0
21,9.0,,,,,
22,,20.0,,,,
23,,,,,,13.0
24,,,,,22.0,
25,,,,,10.0,
26,,,,,,13.0
27,,,,,26.0,
28,9.0,,,,,
29,,,,,10.0,
30,,,,,38.0,
31,,,,,18.0,
32,,,,,,13.0
33,,,,,,19.0
34,,,,,10.0,
35,,,,,16.0,
36,,,,,,9.0
37,,,,,30.0,
38,,10.0,,,,
39,,14.0,,,,
40,,,,,,15.0
41,,,,,,19.0
42,,,,,,13.0
43,,,,,16.0,
44,9.0,,,,,
45,,,,,16.0,
46,19.0,,,,,
47,,,,,,19.0
48,,,,,10.0,
49,,,,,,19.0
