,FLAT_v5_started_FLAT_v5_won,ZEROX_v5_started_FLAT_v5_won,FLAT_v5_started_Tie,ZEROX_v5_started_Tie,FLAT_v5_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,47.0
1,,32.0,,,,
2,,,,,,47.0
3,,,,,,53.0
4,,,,,22.0,
5,,,,,,33.0
6,,,,,24.0,
7,,,,,,33.0
8,,,,,,61.0
9,,,,,44.0,
10,,,,,,41.0
11,,,,,,49.0
12,,,,,,17.0
13,,,,,22.0,
14,,,,,,11.0
15,,,,,24.0,
16,,,,,,21.0
17,,,,,30.0,
18,,,,,,29.0
19,,,,,,31.0
20,,,,,20.0,
21,,,,,,37.0
22,,,,,,29.0
23,,,,,22.0,
24,,,,,,23.0
25,,,,,,37.0
26,,,,,42.0,
27,27.0,,,,,
28,,,,,18.0,
29,,,,,12.0,
30,,,,,,25.0
31,,,,,60.0,
32,,,,,,61.0
33,,,,,,35.0
34,,,,,,27.0
35,,,,,24.0,
36,,,64.0,,,
37,,,,,,21.0
38,,,,,28.0,
39,,,,,,45.0
40,,,,,,33.0
41,,,,,40.0,
42,,,,,24.0,
43,,,,,,35.0
44,,,,,,29.0
45,,,,,18.0,
46,,,,,26.0,
47,,,,,,25.0
48,,,,,,27.0
49,,,,,,49.0
