,ZEROX_v5_started_ZEROX_v5_won,UCT_1500_started_ZEROX_v5_won,ZEROX_v5_started_Tie,UCT_1500_started_Tie,ZEROX_v5_started_UCT_1500_won,UCT_1500_started_UCT_1500_won
0,,10.0,,,,
1,15.0,,,,,
2,,12.0,,,,
3,9.0,,,,,
4,,10.0,,,,
5,13.0,,,,,
6,11.0,,,,,
7,11.0,,,,,
8,,,,,,35.0
9,,12.0,,,,
10,27.0,,,,,
11,17.0,,,,,
12,,12.0,,,,
13,,20.0,,,,
14,9.0,,,,,
15,27.0,,,,,
16,11.0,,,,,
17,9.0,,,,,
18,,24.0,,,,
19,15.0,,,,,
20,,22.0,,,,
21,,10.0,,,,
22,31.0,,,,,
23,,,64.0,,,
24,9.0,,,,,
25,,12.0,,,,
26,,10.0,,,,
27,,10.0,,,,
28,,10.0,,,,
29,,10.0,,,,
30,,10.0,,,,
31,9.0,,,,,
32,13.0,,,,,
33,,16.0,,,,
34,,32.0,,,,
35,,30.0,,,,
36,,28.0,,,,
37,17.0,,,,,
38,,,,,30.0,
39,,,,,,21.0
40,,12.0,,,,
41,15.0,,,,,
42,,20.0,,,,
43,,10.0,,,,
44,,10.0,,,,
45,,,,,26.0,
46,,,,,,47.0
47,,,64.0,,,
48,,,64.0,,,
49,9.0,,,,,
