,ZERO_v3_started_ZERO_v3_won,UCT_3000_started_ZERO_v3_won,ZERO_v3_started_Tie,UCT_3000_started_Tie,ZERO_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,64.0,,,
1,15.0,,,,,
2,9.0,,,,,
3,9.0,,,,,
4,,10.0,,,,
5,,,,,,15.0
6,11.0,,,,,
7,9.0,,,,,
8,,,,,38.0,
9,,,,,,15.0
10,,,,,,17.0
11,,,,,,33.0
12,9.0,,,,,
13,,12.0,,,,
14,17.0,,,,,
15,19.0,,,,,
16,,,,,,21.0
17,,12.0,,,,
18,,,,,,23.0
19,19.0,,,,,
20,,,,,,17.0
21,9.0,,,,,
22,,,,,,19.0
23,,,,,24.0,
24,9.0,,,,,
25,9.0,,,,,
26,15.0,,,,,
27,,16.0,,,,
28,,10.0,,,,
29,9.0,,,,,
30,,,64.0,,,
31,25.0,,,,,
32,9.0,,,,,
33,,,,,,15.0
34,,,,,,21.0
35,,,,,,13.0
36,,,,,,9.0
37,,,,,,13.0
38,,12.0,,,,
39,,,,,52.0,
40,,,,,20.0,
41,23.0,,,,,
42,,,,,,19.0
43,,,,,,25.0
44,9.0,,,,,
45,,,,,32.0,
46,,,,,,13.0
47,,,,,22.0,
48,,12.0,,,,
49,9.0,,,,,
