,ZERO_v3_started_ZERO_v3_won,ZEROX_v3_started_ZERO_v3_won,ZERO_v3_started_Tie,ZEROX_v3_started_Tie,ZERO_v3_started_ZEROX_v3_won,ZEROX_v3_started_ZEROX_v3_won
0,15.0,,,,,
1,,,,,,17.0
2,,20.0,,,,
3,,14.0,,,,
4,,,,,,31.0
5,,,,,,13.0
6,,,,,14.0,
7,,,,,,13.0
8,,,,,24.0,
9,,20.0,,,,
10,,,,,14.0,
11,19.0,,,,,
12,21.0,,,,,
13,17.0,,,,,
14,,,,,20.0,
15,,,,,,17.0
16,,,,,,11.0
17,37.0,,,,,
18,,,,,,15.0
19,,,,,,11.0
20,,18.0,,,,
21,,18.0,,,,
22,,12.0,,,,
23,27.0,,,,,
24,,,,,12.0,
25,23.0,,,,,
26,,14.0,,,,
27,33.0,,,,,
28,17.0,,,,,
29,,,,,,15.0
30,,,,,10.0,
31,,,,,,9.0
32,,,,,,19.0
33,15.0,,,,,
34,,,,,24.0,
35,19.0,,,,,
36,,,,,18.0,
37,,,,,18.0,
38,33.0,,,,,
39,27.0,,,,,
40,15.0,,,,,
41,,,,,,15.0
42,,,,,14.0,
43,,,,,,27.0
44,,,,,28.0,
45,,,,,,39.0
46,25.0,,,,,
47,,,,,,13.0
48,,12.0,,,,
49,,34.0,,,,
