,ZERO_v3_started_ZERO_v3_won,ZERO_v5_started_ZERO_v3_won,ZERO_v3_started_Tie,ZERO_v5_started_Tie,ZERO_v3_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,19.0,,,,,
1,,,,,,13.0
2,,,,64.0,,
3,,,64.0,,,
4,,,64.0,,,
5,,,,,20.0,
6,,,,,14.0,
7,,,64.0,,,
8,,,,,,11.0
9,,,,,30.0,
10,,,,,,25.0
11,,,64.0,,,
12,29.0,,,,,
13,,,,64.0,,
14,,,,,,43.0
15,,,,,,13.0
16,,,,,,13.0
17,,,,,10.0,
18,,,,,16.0,
19,,,,,,27.0
20,,,,64.0,,
21,,,,64.0,,
22,,,,,,13.0
23,,,,64.0,,
24,,,,,,19.0
25,,,,,,25.0
26,,,,64.0,,
27,,24.0,,,,
28,31.0,,,,,
29,33.0,,,,,
30,19.0,,,,,
31,,,,64.0,,
32,,,,64.0,,
33,,,,64.0,,
34,,,,,,17.0
35,,,,,,25.0
36,,,,,10.0,
37,,,,64.0,,
38,,,,,,19.0
39,15.0,,,,,
40,27.0,,,,,
41,,,,64.0,,
42,,,,,,9.0
43,,,,,10.0,
44,,,,,,9.0
45,,,,,,17.0
46,,,,,,21.0
47,,,,,,17.0
48,,34.0,,,,
49,,,,,,17.0
