[2023-12-14 21:40:02,494] Filepath does not exist: _conv/models/best.h5
[2023-12-14 21:40:02,496] Initializing new model
[2023-12-14 21:41:07,284] Epoch: 0 to 50, Batch: 6.25%, Mean Reward: 0.28, MSE: 0.90929, LR: 0.01000
[2023-12-14 21:41:08,586] Epoch: 0 to 50, Batch: 12.50%, Mean Reward: -0.12, MSE: 0.81691, LR: 0.00995
[2023-12-14 21:41:10,050] Epoch: 0 to 50, Batch: 18.75%, Mean Reward: 0.12, MSE: 0.86555, LR: 0.00990
[2023-12-14 21:41:11,434] Epoch: 0 to 50, Batch: 25.00%, Mean Reward: -0.28, MSE: 0.78668, LR: 0.00985
[2023-12-14 21:41:12,797] Epoch: 0 to 50, Batch: 31.25%, Mean Reward: 0.04, MSE: 0.85008, LR: 0.00980
[2023-12-14 21:41:14,163] Epoch: 0 to 50, Batch: 37.50%, Mean Reward: -0.28, MSE: 0.78576, LR: 0.00975
[2023-12-14 21:41:15,535] Epoch: 0 to 50, Batch: 43.75%, Mean Reward: -0.20, MSE: 0.80095, LR: 0.00970
[2023-12-14 21:41:16,889] Epoch: 0 to 50, Batch: 50.00%, Mean Reward: 0.04, MSE: 0.85256, LR: 0.00966
[2023-12-14 21:41:18,176] Epoch: 0 to 50, Batch: 56.25%, Mean Reward: -0.20, MSE: 0.80198, LR: 0.00961
[2023-12-14 21:41:19,536] Epoch: 0 to 50, Batch: 62.50%, Mean Reward: 0.12, MSE: 0.87366, LR: 0.00956
[2023-12-14 21:41:20,953] Epoch: 0 to 50, Batch: 68.75%, Mean Reward: -0.20, MSE: 0.79885, LR: 0.00951
[2023-12-14 21:41:22,293] Epoch: 0 to 50, Batch: 75.00%, Mean Reward: 0.04, MSE: 0.85697, LR: 0.00946
[2023-12-14 21:41:23,826] Epoch: 0 to 50, Batch: 81.25%, Mean Reward: 0.04, MSE: 0.84878, LR: 0.00942
[2023-12-14 21:41:25,238] Epoch: 0 to 50, Batch: 87.50%, Mean Reward: 0.20, MSE: 0.88715, LR: 0.00937
[2023-12-14 21:41:26,680] Epoch: 0 to 50, Batch: 93.75%, Mean Reward: -0.28, MSE: 0.78283, LR: 0.00932
[2023-12-14 21:41:28,246] Epoch: 0 to 50, Batch: 100.00%, Mean Reward: 0.04, MSE: 0.85297, LR: 0.00928
[2023-12-14 21:42:12,951] Epoch: 50 to 100, Batch: 6.25%, Mean Reward: 0.04, MSE: 0.86084, LR: 0.00923
[2023-12-14 21:42:14,254] Epoch: 50 to 100, Batch: 12.50%, Mean Reward: 0.12, MSE: 0.87029, LR: 0.00918
[2023-12-14 21:42:15,585] Epoch: 50 to 100, Batch: 18.75%, Mean Reward: -0.04, MSE: 0.84295, LR: 0.00914
[2023-12-14 21:42:16,892] Epoch: 50 to 100, Batch: 25.00%, Mean Reward: -0.12, MSE: 0.82448, LR: 0.00909
[2023-12-14 21:42:18,211] Epoch: 50 to 100, Batch: 31.25%, Mean Reward: 0.36, MSE: 0.85702, LR: 0.00905
[2023-12-14 21:42:19,590] Epoch: 50 to 100, Batch: 37.50%, Mean Reward: 0.12, MSE: 0.81448, LR: 0.00900
[2023-12-14 21:42:20,930] Epoch: 50 to 100, Batch: 43.75%, Mean Reward: 0.20, MSE: 0.79853, LR: 0.00896
[2023-12-14 21:42:22,361] Epoch: 50 to 100, Batch: 50.00%, Mean Reward: 0.20, MSE: 0.80085, LR: 0.00891
[2023-12-14 21:42:23,778] Epoch: 50 to 100, Batch: 56.25%, Mean Reward: 0.04, MSE: 0.83065, LR: 0.00887
[2023-12-14 21:42:25,131] Epoch: 50 to 100, Batch: 62.50%, Mean Reward: 0.04, MSE: 0.83718, LR: 0.00882
[2023-12-14 21:42:26,470] Epoch: 50 to 100, Batch: 68.75%, Mean Reward: 0.20, MSE: 0.80552, LR: 0.00878
[2023-12-14 21:42:27,843] Epoch: 50 to 100, Batch: 75.00%, Mean Reward: 0.04, MSE: 0.84013, LR: 0.00873
[2023-12-14 21:42:29,260] Epoch: 50 to 100, Batch: 81.25%, Mean Reward: -0.04, MSE: 0.85722, LR: 0.00869
[2023-12-14 21:42:30,613] Epoch: 50 to 100, Batch: 87.50%, Mean Reward: 0.36, MSE: 0.77103, LR: 0.00865
[2023-12-14 21:42:32,010] Epoch: 50 to 100, Batch: 93.75%, Mean Reward: 0.44, MSE: 0.75005, LR: 0.00860
[2023-12-14 21:42:33,405] Epoch: 50 to 100, Batch: 100.00%, Mean Reward: 0.12, MSE: 0.81557, LR: 0.00856
[2023-12-14 21:43:20,428] Epoch: 100 to 150, Batch: 6.25%, Mean Reward: -0.20, MSE: 0.88962, LR: 0.00852
[2023-12-14 21:43:21,850] Epoch: 100 to 150, Batch: 12.50%, Mean Reward: -0.04, MSE: 0.86153, LR: 0.00848
[2023-12-14 21:43:23,237] Epoch: 100 to 150, Batch: 18.75%, Mean Reward: -0.52, MSE: 0.95145, LR: 0.00843
[2023-12-14 21:43:24,626] Epoch: 100 to 150, Batch: 25.00%, Mean Reward: 0.20, MSE: 0.80451, LR: 0.00839
[2023-12-14 21:43:26,006] Epoch: 100 to 150, Batch: 31.25%, Mean Reward: -0.04, MSE: 0.85767, LR: 0.00835
[2023-12-14 21:43:27,397] Epoch: 100 to 150, Batch: 37.50%, Mean Reward: -0.04, MSE: 0.85034, LR: 0.00831
[2023-12-14 21:43:28,702] Epoch: 100 to 150, Batch: 43.75%, Mean Reward: -0.20, MSE: 0.88991, LR: 0.00827
[2023-12-14 21:43:30,063] Epoch: 100 to 150, Batch: 50.00%, Mean Reward: -0.12, MSE: 0.87002, LR: 0.00822
[2023-12-14 21:43:31,529] Epoch: 100 to 150, Batch: 56.25%, Mean Reward: -0.28, MSE: 0.90161, LR: 0.00818
[2023-12-14 21:43:33,000] Epoch: 100 to 150, Batch: 62.50%, Mean Reward: -0.20, MSE: 0.88518, LR: 0.00814
[2023-12-14 21:43:34,412] Epoch: 100 to 150, Batch: 68.75%, Mean Reward: -0.12, MSE: 0.86666, LR: 0.00810
[2023-12-14 21:43:35,847] Epoch: 100 to 150, Batch: 75.00%, Mean Reward: -0.36, MSE: 0.91840, LR: 0.00806
[2023-12-14 21:43:37,162] Epoch: 100 to 150, Batch: 81.25%, Mean Reward: 0.12, MSE: 0.82950, LR: 0.00802
[2023-12-14 21:43:38,583] Epoch: 100 to 150, Batch: 87.50%, Mean Reward: 0.52, MSE: 0.73320, LR: 0.00798
[2023-12-14 21:43:39,906] Epoch: 100 to 150, Batch: 93.75%, Mean Reward: -0.12, MSE: 0.87627, LR: 0.00794
[2023-12-14 21:43:41,269] Epoch: 100 to 150, Batch: 100.00%, Mean Reward: 0.04, MSE: 0.84471, LR: 0.00790
[2023-12-14 21:44:30,117] Epoch: 150 to 200, Batch: 6.25%, Mean Reward: -0.28, MSE: 0.90123, LR: 0.00786
[2023-12-14 21:44:31,585] Epoch: 150 to 200, Batch: 12.50%, Mean Reward: -0.28, MSE: 0.89823, LR: 0.00782
[2023-12-14 21:44:33,003] Epoch: 150 to 200, Batch: 18.75%, Mean Reward: -0.12, MSE: 0.87216, LR: 0.00778
[2023-12-14 21:44:34,420] Epoch: 150 to 200, Batch: 25.00%, Mean Reward: -0.60, MSE: 0.96160, LR: 0.00774
[2023-12-14 21:44:35,838] Epoch: 150 to 200, Batch: 31.25%, Mean Reward: -0.20, MSE: 0.88373, LR: 0.00771
[2023-12-14 21:44:37,234] Epoch: 150 to 200, Batch: 37.50%, Mean Reward: -0.28, MSE: 0.90362, LR: 0.00767
[2023-12-14 21:44:38,665] Epoch: 150 to 200, Batch: 43.75%, Mean Reward: -0.36, MSE: 0.92414, LR: 0.00763
[2023-12-14 21:44:40,145] Epoch: 150 to 200, Batch: 50.00%, Mean Reward: -0.20, MSE: 0.88330, LR: 0.00759
[2023-12-14 21:44:41,579] Epoch: 150 to 200, Batch: 56.25%, Mean Reward: -0.52, MSE: 0.94976, LR: 0.00755
[2023-12-14 21:44:42,926] Epoch: 150 to 200, Batch: 62.50%, Mean Reward: -0.44, MSE: 0.94507, LR: 0.00751
[2023-12-14 21:44:44,405] Epoch: 150 to 200, Batch: 68.75%, Mean Reward: -0.12, MSE: 0.86645, LR: 0.00748
[2023-12-14 21:44:45,805] Epoch: 150 to 200, Batch: 75.00%, Mean Reward: -0.20, MSE: 0.89307, LR: 0.00744
[2023-12-14 21:44:47,199] Epoch: 150 to 200, Batch: 81.25%, Mean Reward: -0.36, MSE: 0.92347, LR: 0.00740
[2023-12-14 21:44:48,561] Epoch: 150 to 200, Batch: 87.50%, Mean Reward: -0.44, MSE: 0.93617, LR: 0.00737
[2023-12-14 21:44:49,873] Epoch: 150 to 200, Batch: 93.75%, Mean Reward: -0.12, MSE: 0.87480, LR: 0.00733
[2023-12-14 21:44:51,304] Epoch: 150 to 200, Batch: 100.00%, Mean Reward: -0.20, MSE: 0.88779, LR: 0.00729
[2023-12-14 21:45:38,181] Epoch: 200 to 250, Batch: 6.25%, Mean Reward: -0.28, MSE: 0.90535, LR: 0.00726
[2023-12-14 21:45:39,552] Epoch: 200 to 250, Batch: 12.50%, Mean Reward: -0.28, MSE: 0.90886, LR: 0.00722
[2023-12-14 21:45:40,929] Epoch: 200 to 250, Batch: 18.75%, Mean Reward: -0.36, MSE: 0.91929, LR: 0.00718
[2023-12-14 21:45:42,273] Epoch: 200 to 250, Batch: 25.00%, Mean Reward: -0.12, MSE: 0.87471, LR: 0.00715
[2023-12-14 21:45:43,698] Epoch: 200 to 250, Batch: 31.25%, Mean Reward: -0.44, MSE: 0.93592, LR: 0.00711
[2023-12-14 21:45:45,158] Epoch: 200 to 250, Batch: 37.50%, Mean Reward: -0.36, MSE: 0.91314, LR: 0.00708
[2023-12-14 21:45:46,594] Epoch: 200 to 250, Batch: 43.75%, Mean Reward: -0.12, MSE: 0.87230, LR: 0.00704
[2023-12-14 21:45:48,051] Epoch: 200 to 250, Batch: 50.00%, Mean Reward: -0.28, MSE: 0.90216, LR: 0.00701
[2023-12-14 21:45:49,485] Epoch: 200 to 250, Batch: 56.25%, Mean Reward: -0.28, MSE: 0.89995, LR: 0.00697
[2023-12-14 21:45:50,921] Epoch: 200 to 250, Batch: 62.50%, Mean Reward: -0.44, MSE: 0.93057, LR: 0.00694
[2023-12-14 21:45:52,307] Epoch: 200 to 250, Batch: 68.75%, Mean Reward: -0.04, MSE: 0.86154, LR: 0.00690
[2023-12-14 21:45:53,747] Epoch: 200 to 250, Batch: 75.00%, Mean Reward: -0.52, MSE: 0.94559, LR: 0.00687
[2023-12-14 21:45:55,173] Epoch: 200 to 250, Batch: 81.25%, Mean Reward: -0.20, MSE: 0.88492, LR: 0.00683
[2023-12-14 21:45:56,621] Epoch: 200 to 250, Batch: 87.50%, Mean Reward: 0.12, MSE: 0.81555, LR: 0.00680
[2023-12-14 21:45:58,044] Epoch: 200 to 250, Batch: 93.75%, Mean Reward: -0.28, MSE: 0.89878, LR: 0.00676
[2023-12-14 21:45:59,452] Epoch: 200 to 250, Batch: 100.00%, Mean Reward: -0.68, MSE: 0.98837, LR: 0.00673
[2023-12-14 21:46:49,271] Epoch: 250 to 300, Batch: 6.25%, Mean Reward: -0.12, MSE: 0.87005, LR: 0.00670
[2023-12-14 21:46:50,769] Epoch: 250 to 300, Batch: 12.50%, Mean Reward: -0.28, MSE: 0.90181, LR: 0.00666
[2023-12-14 21:46:52,125] Epoch: 250 to 300, Batch: 18.75%, Mean Reward: -0.12, MSE: 0.86992, LR: 0.00663
[2023-12-14 21:46:53,523] Epoch: 250 to 300, Batch: 25.00%, Mean Reward: -0.36, MSE: 0.92034, LR: 0.00660
[2023-12-14 21:46:54,899] Epoch: 250 to 300, Batch: 31.25%, Mean Reward: -0.36, MSE: 0.92043, LR: 0.00656
[2023-12-14 21:46:56,363] Epoch: 250 to 300, Batch: 37.50%, Mean Reward: -0.12, MSE: 0.86711, LR: 0.00653
[2023-12-14 21:46:57,793] Epoch: 250 to 300, Batch: 43.75%, Mean Reward: -0.20, MSE: 0.88422, LR: 0.00650
[2023-12-14 21:46:59,286] Epoch: 250 to 300, Batch: 50.00%, Mean Reward: -0.28, MSE: 0.90083, LR: 0.00647
[2023-12-14 21:47:00,740] Epoch: 250 to 300, Batch: 56.25%, Mean Reward: -0.04, MSE: 0.86068, LR: 0.00643
[2023-12-14 21:47:02,091] Epoch: 250 to 300, Batch: 62.50%, Mean Reward: -0.12, MSE: 0.86949, LR: 0.00640
[2023-12-14 21:47:03,560] Epoch: 250 to 300, Batch: 68.75%, Mean Reward: -0.36, MSE: 0.91524, LR: 0.00637
[2023-12-14 21:47:04,964] Epoch: 250 to 300, Batch: 75.00%, Mean Reward: 0.04, MSE: 0.84060, LR: 0.00634
[2023-12-14 21:47:06,343] Epoch: 250 to 300, Batch: 81.25%, Mean Reward: -0.28, MSE: 0.90912, LR: 0.00631
