[2023-12-05 14:24:48,275] Filepath does not exist: ./models_dens2/best.h5
[2023-12-05 14:24:48,275] Initializing new model
[2023-12-05 14:24:49,582] Epoch 1, Loss 54.6898078918457, Lr: 0.01000000
[2023-12-05 14:24:50,736] Epoch 2, Loss 46.314125061035156, Lr: 0.00970000
[2023-12-05 14:24:53,027] Epoch 3, Loss 160.53721618652344, Lr: 0.00940000
[2023-12-05 14:24:55,953] Epoch 4, Loss 54.82502746582031, Lr: 0.00910000
[2023-12-05 14:24:59,340] Epoch 5, Loss 118.73091888427734, Lr: 0.00880000
[2023-12-05 14:25:00,792] Epoch 6, Loss 84.9447250366211, Lr: 0.00850000
[2023-12-05 14:25:02,188] Epoch 7, Loss 31.77236557006836, Lr: 0.00820000
[2023-12-05 14:25:03,118] Epoch 8, Loss 112.734375, Lr: 0.00790000
[2023-12-05 14:25:06,655] Epoch 9, Loss 57.42820358276367, Lr: 0.00760000
[2023-12-05 14:25:07,961] Epoch 10, Loss 76.79070281982422, Lr: 0.00730000
[2023-12-05 14:25:10,980] Epoch 11, Loss 120.22532653808594, Lr: 0.00700000
[2023-12-05 14:25:12,882] Epoch 12, Loss 45.982181549072266, Lr: 0.00670000
[2023-12-05 14:25:14,414] Epoch 13, Loss 44.70851135253906, Lr: 0.00640000
[2023-12-05 14:25:15,756] Epoch 14, Loss 41.42219924926758, Lr: 0.00610000
[2023-12-05 14:25:16,048] Epoch 15, Loss 13.814723014831543, Lr: 0.00580000
[2023-12-05 14:25:16,294] Epoch 16, Loss 13.436044692993164, Lr: 0.00550000
[2023-12-05 14:25:17,103] Epoch 17, Loss 17.349565505981445, Lr: 0.00520000
[2023-12-05 14:25:20,049] Epoch 18, Loss 47.03813552856445, Lr: 0.00490000
[2023-12-05 14:25:21,276] Epoch 19, Loss 40.857666015625, Lr: 0.00460000
[2023-12-05 14:25:23,845] Epoch 20, Loss 189.1075439453125, Lr: 0.00430000
[2023-12-05 14:25:25,127] Epoch 21, Loss 42.225460052490234, Lr: 0.00400000
[2023-12-05 14:25:25,782] Epoch 22, Loss 11.37714958190918, Lr: 0.00370000
[2023-12-05 14:25:26,414] Epoch 23, Loss 28.215377807617188, Lr: 0.00340000
[2023-12-05 14:25:30,192] Epoch 24, Loss 50.241302490234375, Lr: 0.00310000
[2023-12-05 14:25:31,686] Epoch 25, Loss 51.0172119140625, Lr: 0.00280000
[2023-12-05 14:25:32,064] Epoch 26, Loss 22.691146850585938, Lr: 0.00250000
[2023-12-05 14:25:33,326] Epoch 27, Loss 32.14684295654297, Lr: 0.00220000
[2023-12-05 14:25:33,805] Epoch 28, Loss 28.35913848876953, Lr: 0.00190000
[2023-12-05 14:25:35,241] Epoch 29, Loss 33.16096496582031, Lr: 0.00160000
[2023-12-05 14:25:37,046] Epoch 30, Loss 25.785755157470703, Lr: 0.00130000
[2023-12-05 14:25:37,852] Epoch 31, Loss 63.16383361816406, Lr: 0.00100000
[2023-12-05 14:25:38,772] Epoch 32, Loss 23.409765243530273, Lr: 0.00100000
[2023-12-05 14:25:40,858] Epoch 33, Loss 119.19422149658203, Lr: 0.00100000
[2023-12-05 14:25:42,004] Epoch 34, Loss 18.536046981811523, Lr: 0.00100000
[2023-12-05 14:25:44,964] Epoch 35, Loss 44.26698303222656, Lr: 0.00100000
[2023-12-05 14:25:46,543] Epoch 36, Loss 28.675472259521484, Lr: 0.00100000
[2023-12-05 14:25:47,060] Epoch 37, Loss 16.609291076660156, Lr: 0.00100000
[2023-12-05 14:25:47,448] Epoch 38, Loss 22.430978775024414, Lr: 0.00100000
[2023-12-05 14:25:49,727] Epoch 39, Loss 41.44334411621094, Lr: 0.00100000
[2023-12-05 14:25:51,036] Epoch 40, Loss 34.40253448486328, Lr: 0.00100000
[2023-12-05 14:25:54,467] Epoch 41, Loss 101.13443756103516, Lr: 0.00100000
[2023-12-05 14:25:55,376] Epoch 42, Loss 26.702762603759766, Lr: 0.00100000
[2023-12-05 14:25:56,033] Epoch 43, Loss 22.70221710205078, Lr: 0.00100000
[2023-12-05 14:25:57,458] Epoch 44, Loss 46.867652893066406, Lr: 0.00100000
[2023-12-05 14:25:58,973] Epoch 45, Loss 31.812000274658203, Lr: 0.00100000
[2023-12-05 14:26:00,172] Epoch 46, Loss 36.777950286865234, Lr: 0.00100000
[2023-12-05 14:26:03,937] Epoch 47, Loss 119.73771667480469, Lr: 0.00100000
[2023-12-05 14:26:09,288] Epoch 48, Loss 3.507593870162964, Lr: 0.00100000
[2023-12-05 14:26:10,980] Epoch 49, Loss 43.770145416259766, Lr: 0.00100000
[2023-12-05 14:26:12,033] Epoch 50, Loss 16.703676223754883, Lr: 0.00100000
[2023-12-05 14:26:12,808] Epoch 51, Loss 14.780908584594727, Lr: 0.00100000
[2023-12-05 14:26:14,619] Epoch 52, Loss 51.980770111083984, Lr: 0.00100000
[2023-12-05 14:26:17,169] Epoch 53, Loss 49.06056594848633, Lr: 0.00100000
[2023-12-05 14:26:20,166] Epoch 54, Loss 124.8580551147461, Lr: 0.00100000
[2023-12-05 14:26:22,219] Epoch 55, Loss 86.09337615966797, Lr: 0.00100000
[2023-12-05 14:26:24,725] Epoch 56, Loss 132.98951721191406, Lr: 0.00100000
[2023-12-05 14:26:25,145] Epoch 57, Loss 12.971148490905762, Lr: 0.00100000
[2023-12-05 14:26:25,689] Epoch 58, Loss 17.21800422668457, Lr: 0.00100000
