[2023-11-23 16:18:50,175] Epoch 1, Loss 0.41276559233665466
[2023-11-23 16:19:03,479] Epoch 2, Loss 0.06573086231946945
[2023-11-23 16:19:16,208] Epoch 3, Loss 0.003128130454570055
[2023-11-23 16:19:29,169] Epoch 4, Loss 0.0025457970332354307
[2023-11-23 16:19:43,307] Epoch 5, Loss 3.7862448692321777
[2023-11-23 16:19:57,544] Epoch 6, Loss 1.3872945308685303
[2023-11-23 16:20:10,774] Epoch 7, Loss 0.009168465621769428
[2023-11-23 16:20:22,466] Epoch 8, Loss 0.10913477838039398
[2023-11-23 16:20:34,289] Epoch 9, Loss 0.29226234555244446
[2023-11-23 16:20:50,701] Epoch 10, Loss 1.0786131620407104
[2023-11-23 16:21:03,238] Epoch 11, Loss 0.032610103487968445
[2023-11-23 16:21:16,109] Epoch 12, Loss 0.6743263006210327
[2023-11-23 16:21:31,618] Epoch 13, Loss 1.2683451175689697
[2023-11-23 16:21:44,622] Epoch 14, Loss 0.5664317011833191
[2023-11-23 16:21:57,677] Epoch 15, Loss 0.02946905791759491
[2023-11-23 16:22:09,173] Epoch 16, Loss 0.07031678408384323
[2023-11-23 16:22:23,469] Epoch 17, Loss 0.010489724576473236
[2023-11-23 16:22:36,505] Epoch 18, Loss 0.009499810636043549
[2023-11-23 16:22:49,833] Epoch 19, Loss 0.21282413601875305
[2023-11-23 16:23:11,624] Epoch 20, Loss 0.015337423421442509
[2023-11-23 16:23:27,179] Epoch 21, Loss 0.3469426929950714
[2023-11-23 16:23:43,218] Epoch 22, Loss 0.008196467533707619
[2023-11-23 16:23:55,834] Epoch 23, Loss 0.5184831619262695
[2023-11-23 16:24:07,526] Epoch 24, Loss 1.1369071006774902
[2023-11-23 16:24:19,249] Epoch 25, Loss 0.2836034893989563
[2023-11-23 16:24:30,857] Epoch 26, Loss 0.1993328332901001
[2023-11-23 16:24:42,290] Epoch 27, Loss 0.15364006161689758
[2023-11-23 16:24:53,932] Epoch 28, Loss 0.08744117617607117
[2023-11-23 16:25:09,826] Epoch 29, Loss 0.007934735156595707
[2023-11-23 16:25:21,335] Epoch 30, Loss 0.0713711678981781
[2023-11-23 16:25:33,086] Epoch 31, Loss 0.05224040523171425
[2023-11-23 16:25:46,105] Epoch 32, Loss 0.037357356399297714
[2023-11-23 16:25:57,983] Epoch 33, Loss 0.023591849952936172
[2023-11-23 16:26:09,801] Epoch 34, Loss 0.017030049115419388
[2023-11-23 16:26:21,469] Epoch 35, Loss 0.07089617103338242
[2023-11-23 16:26:34,637] Epoch 36, Loss 0.26031649112701416
[2023-11-23 16:26:46,295] Epoch 37, Loss 0.00790742039680481
[2023-11-23 16:26:59,384] Epoch 38, Loss 0.08102217316627502
[2023-11-23 16:27:10,867] Epoch 39, Loss 0.0059600831009447575
[2023-11-23 16:27:25,729] Epoch 40, Loss 0.005033659748733044
[2023-11-23 16:27:39,571] Epoch 41, Loss 0.012335620820522308
[2023-11-23 16:27:52,505] Epoch 42, Loss 0.005130463745445013
[2023-11-23 16:28:04,184] Epoch 43, Loss 0.20881794393062592
