[2023-12-04 16:15:59,912] Filepath does not exist: ./models_conv/best.h5
[2023-12-04 16:15:59,912] Initializing new model
[2023-12-04 16:16:01,203] Epoch 1, Loss 22.749074935913086
[2023-12-04 16:16:02,566] Epoch 2, Loss 49.85818099975586
[2023-12-04 16:16:03,462] Epoch 3, Loss 36.410400390625
[2023-12-04 16:16:04,646] Epoch 4, Loss 38.31486511230469
[2023-12-04 16:16:05,662] Epoch 5, Loss 36.32035446166992
[2023-12-04 16:16:06,432] Epoch 6, Loss 29.743301391601562
[2023-12-04 16:16:07,656] Epoch 7, Loss 16.752695083618164
[2023-12-04 16:16:08,688] Epoch 8, Loss 39.04759216308594
[2023-12-04 16:16:09,727] Epoch 9, Loss 39.245243072509766
[2023-12-04 16:16:10,405] Epoch 10, Loss 9.04410171508789
[2023-12-04 16:16:11,349] Epoch 11, Loss 9.903397560119629
[2023-12-04 16:16:12,739] Epoch 12, Loss 48.90816879272461
[2023-12-04 16:16:13,909] Epoch 13, Loss 15.929182052612305
[2023-12-04 16:16:15,210] Epoch 14, Loss 14.20669174194336
[2023-12-04 16:16:16,794] Epoch 15, Loss 19.372406005859375
[2023-12-04 16:16:17,678] Epoch 16, Loss 10.76231575012207
[2023-12-04 16:16:18,730] Epoch 17, Loss 37.39075469970703
[2023-12-04 16:16:19,846] Epoch 18, Loss 39.3122673034668
[2023-12-04 16:16:20,539] Epoch 19, Loss 31.628047943115234
[2023-12-04 16:16:21,202] Epoch 20, Loss 31.628231048583984
[2023-12-04 16:16:22,226] Epoch 21, Loss 15.927862167358398
[2023-12-04 16:16:22,442] Epoch 22, Loss 18.18052864074707
[2023-12-04 16:16:23,289] Epoch 23, Loss 35.470855712890625
[2023-12-04 16:16:23,606] Epoch 24, Loss 22.022945404052734
[2023-12-04 16:16:24,892] Epoch 25, Loss 45.07670211791992
[2023-12-04 16:16:25,897] Epoch 26, Loss 39.31332015991211
[2023-12-04 16:16:27,024] Epoch 27, Loss 14.205842971801758
[2023-12-04 16:16:28,476] Epoch 28, Loss 52.76142120361328
[2023-12-04 16:16:29,217] Epoch 29, Loss 29.707691192626953
[2023-12-04 16:16:30,043] Epoch 30, Loss 11.622945785522461
[2023-12-04 16:16:31,124] Epoch 31, Loss 12.483901977539062
[2023-12-04 16:16:31,964] Epoch 32, Loss 9.901025772094727
[2023-12-04 16:16:32,670] Epoch 33, Loss 33.55004119873047
[2023-12-04 16:16:33,492] Epoch 34, Loss 35.47119903564453
[2023-12-04 16:16:34,983] Epoch 35, Loss 46.99809265136719
[2023-12-04 16:16:36,289] Epoch 36, Loss 45.07695388793945
[2023-12-04 16:16:37,275] Epoch 37, Loss 39.31350326538086
[2023-12-04 16:16:38,499] Epoch 38, Loss 15.066768646240234
[2023-12-04 16:16:39,332] Epoch 39, Loss 9.901019096374512
[2023-12-04 16:16:40,060] Epoch 40, Loss 29.70777130126953
[2023-12-04 16:16:40,435] Epoch 41, Loss 8.179102897644043
[2023-12-04 16:16:41,792] Epoch 42, Loss 16.788684844970703
[2023-12-04 16:16:42,784] Epoch 43, Loss 33.5500602722168
[2023-12-04 16:16:44,473] Epoch 44, Loss 56.60383224487305
[2023-12-04 16:16:45,388] Epoch 45, Loss 33.55006408691406
[2023-12-04 16:16:46,379] Epoch 46, Loss 13.344854354858398
[2023-12-04 16:16:47,290] Epoch 47, Loss 33.550048828125
[2023-12-04 16:16:47,821] Epoch 48, Loss 8.179107666015625
[2023-12-04 16:16:48,829] Epoch 49, Loss 15.066774368286133
[2023-12-04 16:16:49,740] Epoch 50, Loss 9.901025772094727
[2023-12-04 16:18:18,174] ./models_conv/epoch_50.h5 is saved as the latest model
[2023-12-04 16:18:19,224] Epoch 51, Loss 33.55003356933594
[2023-12-04 16:18:20,598] Epoch 52, Loss 19.371572494506836
[2023-12-04 16:18:21,599] Epoch 53, Loss 41.234619140625
[2023-12-04 16:18:22,044] Epoch 54, Loss 29.707721710205078
[2023-12-04 16:18:23,025] Epoch 55, Loss 11.622942924499512
[2023-12-04 16:18:23,867] Epoch 56, Loss 12.483901977539062
[2023-12-04 16:18:24,541] Epoch 57, Loss 29.707698822021484
[2023-12-04 16:18:25,304] Epoch 58, Loss 31.628843307495117
[2023-12-04 16:18:26,381] Epoch 59, Loss 39.31342315673828
[2023-12-04 16:18:27,170] Epoch 60, Loss 31.62883186340332
[2023-12-04 16:18:27,987] Epoch 61, Loss 10.761993408203125
[2023-12-04 16:18:28,769] Epoch 62, Loss 33.549964904785156
[2023-12-04 16:18:29,777] Epoch 63, Loss 11.622958183288574
[2023-12-04 16:18:30,323] Epoch 64, Loss 7.318157196044922
[2023-12-04 16:18:30,981] Epoch 65, Loss 27.786487579345703
[2023-12-04 16:18:31,736] Epoch 66, Loss 37.392208099365234
[2023-12-04 16:18:33,044] Epoch 67, Loss 15.92776870727539
[2023-12-04 16:18:33,884] Epoch 68, Loss 9.04008674621582
[2023-12-04 16:18:34,646] Epoch 69, Loss 9.040083885192871
[2023-12-04 16:18:35,264] Epoch 70, Loss 7.318167209625244
[2023-12-04 16:18:35,773] Epoch 71, Loss 23.944149017333984
[2023-12-04 16:18:36,686] Epoch 72, Loss 9.901050567626953
[2023-12-04 16:18:37,521] Epoch 73, Loss 11.622973442077637
[2023-12-04 16:18:38,312] Epoch 74, Loss 35.47098922729492
[2023-12-04 16:18:39,172] Epoch 75, Loss 10.762016296386719
[2023-12-04 16:18:40,265] Epoch 76, Loss 39.313262939453125
[2023-12-04 16:18:41,025] Epoch 77, Loss 9.901057243347168
[2023-12-04 16:18:41,570] Epoch 78, Loss 8.179132461547852
[2023-12-04 16:18:41,945] Epoch 79, Loss 23.94409942626953
[2023-12-04 16:18:42,616] Epoch 80, Loss 10.762019157409668
[2023-12-04 16:18:43,717] Epoch 81, Loss 13.344907760620117
[2023-12-04 16:18:44,734] Epoch 82, Loss 11.622984886169434
