[2023-12-02 22:46:17,007] Filepath does not exist: ./models_dens/best.h5
[2023-12-02 22:46:17,007] Initializing new model
[2023-12-02 22:46:17,731] Epoch 1, Loss 24.519493103027344
[2023-12-02 22:46:19,705] Epoch 2, Loss 140.3865203857422
[2023-12-02 22:46:20,890] Epoch 3, Loss 28.676969528198242
[2023-12-02 22:46:22,048] Epoch 4, Loss 35.132911682128906
[2023-12-02 22:46:22,455] Epoch 5, Loss 7.673837184906006
[2023-12-02 22:46:23,093] Epoch 6, Loss 11.435728073120117
[2023-12-02 22:46:23,614] Epoch 7, Loss 11.179171562194824
[2023-12-02 22:46:25,347] Epoch 8, Loss 60.154014587402344
[2023-12-02 22:46:26,338] Epoch 9, Loss 24.867822647094727
[2023-12-02 22:46:27,416] Epoch 10, Loss 37.034423828125
[2023-12-02 22:46:28,734] Epoch 11, Loss 19.185754776000977
[2023-12-02 22:46:30,463] Epoch 12, Loss 71.7459716796875
[2023-12-02 22:46:31,531] Epoch 13, Loss 42.7056770324707
[2023-12-02 22:46:33,418] Epoch 14, Loss 120.77019500732422
[2023-12-02 22:46:35,307] Epoch 15, Loss 98.83000946044922
[2023-12-02 22:46:35,732] Epoch 16, Loss 32.237789154052734
[2023-12-02 22:46:37,219] Epoch 17, Loss 39.46029281616211
[2023-12-02 22:46:38,077] Epoch 18, Loss 16.638660430908203
[2023-12-02 22:46:40,259] Epoch 19, Loss 78.53164672851562
[2023-12-02 22:46:41,771] Epoch 20, Loss 30.390727996826172
[2023-12-02 22:46:42,265] Epoch 21, Loss 11.259450912475586
[2023-12-02 22:46:43,113] Epoch 22, Loss 35.02067184448242
[2023-12-02 22:46:43,891] Epoch 23, Loss 12.727922439575195
[2023-12-02 22:46:45,326] Epoch 24, Loss 43.06312942504883
[2023-12-02 22:46:46,921] Epoch 25, Loss 50.843589782714844
[2023-12-02 22:46:47,349] Epoch 26, Loss 7.7064080238342285
[2023-12-02 22:46:48,408] Epoch 27, Loss 45.21324157714844
[2023-12-02 22:46:49,269] Epoch 28, Loss 39.02509689331055
[2023-12-02 22:46:50,043] Epoch 29, Loss 10.19539737701416
[2023-12-02 22:46:50,697] Epoch 30, Loss 11.657325744628906
[2023-12-02 22:46:51,698] Epoch 31, Loss 15.72459602355957
[2023-12-02 22:46:52,788] Epoch 32, Loss 29.95949363708496
[2023-12-02 22:46:53,353] Epoch 33, Loss 9.166377067565918
[2023-12-02 22:46:54,407] Epoch 34, Loss 146.40036010742188
[2023-12-02 22:46:55,776] Epoch 35, Loss 41.4426155090332
[2023-12-02 22:46:56,627] Epoch 36, Loss 33.73542404174805
[2023-12-02 22:46:57,523] Epoch 37, Loss 15.207703590393066
[2023-12-02 22:46:59,082] Epoch 38, Loss 30.682817459106445
[2023-12-02 22:46:59,368] Epoch 39, Loss 8.55448055267334
[2023-12-02 22:47:01,118] Epoch 40, Loss 70.83354949951172
[2023-12-02 22:47:02,536] Epoch 41, Loss 39.094879150390625
[2023-12-02 22:47:03,352] Epoch 42, Loss 59.38489532470703
[2023-12-02 22:47:05,167] Epoch 43, Loss 190.49542236328125
[2023-12-02 22:47:05,780] Epoch 44, Loss 8.447492599487305
[2023-12-02 22:47:06,679] Epoch 45, Loss 15.91386604309082
[2023-12-02 22:47:07,181] Epoch 46, Loss 8.72325325012207
[2023-12-02 22:47:07,866] Epoch 47, Loss 30.013160705566406
