[2023-11-30 19:12:19,108] Filepath does not exist: ./models_fwd/best.h5
[2023-11-30 19:12:19,109] Initializing new model
[2023-11-30 19:12:20,008] Epoch 1, Loss 2.2729058265686035
[2023-11-30 19:12:21,263] Epoch 2, Loss 1.2999705076217651
[2023-11-30 19:12:22,950] Epoch 3, Loss 7.23232889175415
[2023-11-30 19:12:24,069] Epoch 4, Loss 10.26867961883545
[2023-11-30 19:12:25,000] Epoch 5, Loss 17.82232666015625
[2023-11-30 19:12:25,937] Epoch 6, Loss 0.41597095131874084
[2023-11-30 19:12:26,652] Epoch 7, Loss 0.5175167918205261
[2023-11-30 19:12:28,144] Epoch 8, Loss 1.2318636178970337
[2023-11-30 19:12:29,111] Epoch 9, Loss 1.469826579093933
[2023-11-30 19:12:29,963] Epoch 10, Loss 34.994140625
[2023-11-30 19:12:31,063] Epoch 11, Loss 10.576886177062988
[2023-11-30 19:12:32,164] Epoch 12, Loss 1.0430666208267212
[2023-11-30 19:12:33,134] Epoch 13, Loss 1.6898812055587769
[2023-11-30 19:12:33,439] Epoch 14, Loss 0.2570630609989166
[2023-11-30 19:12:34,776] Epoch 15, Loss 2.7210440635681152
[2023-11-30 19:12:35,366] Epoch 16, Loss 0.10992372781038284
[2023-11-30 19:12:36,451] Epoch 17, Loss 0.2513318657875061
[2023-11-30 19:12:37,724] Epoch 18, Loss 4.427579402923584
[2023-11-30 19:12:38,304] Epoch 19, Loss 0.3301945626735687
[2023-11-30 19:12:39,418] Epoch 20, Loss 0.8267257213592529
[2023-11-30 19:12:40,706] Epoch 21, Loss 0.23013706505298615
[2023-11-30 19:12:41,031] Epoch 22, Loss 0.35981285572052
[2023-11-30 19:12:41,793] Epoch 23, Loss 0.12399621307849884
[2023-11-30 19:12:42,818] Epoch 24, Loss 1.4875495433807373
[2023-11-30 19:12:43,479] Epoch 25, Loss 2.304298162460327
[2023-11-30 19:12:44,226] Epoch 26, Loss 0.1253674328327179
[2023-11-30 19:12:45,856] Epoch 27, Loss 4.513956069946289
[2023-11-30 19:12:46,331] Epoch 28, Loss 0.43610846996307373
[2023-11-30 19:12:47,391] Epoch 29, Loss 1.8877804279327393
[2023-11-30 19:12:48,421] Epoch 30, Loss 0.514729380607605
[2023-11-30 19:12:49,871] Epoch 31, Loss 18.737333297729492
[2023-11-30 19:12:50,768] Epoch 32, Loss 9.18906307220459
[2023-11-30 19:12:51,761] Epoch 33, Loss 0.9686676859855652
[2023-11-30 19:12:53,497] Epoch 34, Loss 20.388065338134766
[2023-11-30 19:12:54,267] Epoch 35, Loss 0.9329050779342651
[2023-11-30 19:12:55,157] Epoch 36, Loss 0.9723103046417236
[2023-11-30 19:12:56,138] Epoch 37, Loss 1.5465680360794067
[2023-11-30 19:12:57,811] Epoch 38, Loss 1.7275798320770264
[2023-11-30 19:12:59,400] Epoch 39, Loss 1.937087893486023
[2023-11-30 19:13:00,463] Epoch 40, Loss 8.98845386505127
[2023-11-30 19:13:02,427] Epoch 41, Loss 1.1499441862106323
[2023-11-30 19:13:03,232] Epoch 42, Loss 1.7648036479949951
[2023-11-30 19:13:05,299] Epoch 43, Loss 2.5105738639831543
[2023-11-30 19:13:05,983] Epoch 44, Loss 0.3076408803462982
[2023-11-30 19:13:07,727] Epoch 45, Loss 10.35442066192627
