[2023-11-28 09:36:07,660] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:36:08,895] Epoch 1, Loss 4.380248069763184
[2023-11-28 09:36:10,062] Epoch 2, Loss 0.13652613759040833
[2023-11-28 09:36:12,221] Epoch 3, Loss 43.3216552734375
[2023-11-28 09:36:13,630] Epoch 4, Loss 28.11701202392578
[2023-11-28 09:36:15,664] Epoch 5, Loss 30.52169418334961
[2023-11-28 09:36:17,338] Epoch 6, Loss 18.023948669433594
[2023-11-28 09:36:19,697] Epoch 7, Loss 35.961151123046875
[2023-11-28 09:36:22,127] Epoch 8, Loss 22.580188751220703
[2023-11-28 09:39:36,697] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:40:44,592] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:40:44,597] File ./models_wzlen/epoch_25.h5 does not exist
[2023-11-28 09:42:55,293] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:43:10,535] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:43:12,096] Epoch 1, Loss 20.140607833862305
[2023-11-28 09:43:12,562] Epoch 2, Loss 0.5200087428092957
[2023-11-28 09:43:13,448] Epoch 3, Loss 17.254722595214844
[2023-11-28 09:43:14,978] Epoch 4, Loss 7.6270060539245605
[2023-11-28 09:43:15,555] Epoch 5, Loss 29.10385513305664
[2023-11-28 09:43:17,563] Epoch 6, Loss 32.38766098022461
[2023-11-28 09:43:18,497] Epoch 7, Loss 0.08385329693555832
[2023-11-28 09:43:19,409] Epoch 8, Loss 0.1103816032409668
[2023-11-28 09:43:21,837] Epoch 9, Loss 19.188377380371094
[2023-11-28 09:43:24,266] Epoch 10, Loss 19.953041076660156
[2023-11-28 09:43:26,607] Epoch 11, Loss 37.31831741333008
[2023-11-28 09:43:27,468] Epoch 12, Loss 0.24624262750148773
[2023-11-28 09:43:28,095] Epoch 13, Loss 0.4719654619693756
[2023-11-28 09:43:28,963] Epoch 14, Loss 1.9519689083099365
[2023-11-28 09:43:30,881] Epoch 15, Loss 19.62092399597168
[2023-11-28 09:43:31,659] Epoch 16, Loss 18.593515396118164
[2023-11-28 09:43:32,604] Epoch 17, Loss 18.414466857910156
[2023-11-28 09:43:34,022] Epoch 18, Loss 17.733827590942383
[2023-11-28 09:43:36,318] Epoch 19, Loss 38.013851165771484
[2023-11-28 09:43:37,212] Epoch 20, Loss 18.3564395904541
[2023-11-28 09:43:37,695] Epoch 21, Loss 9.245933532714844
[2023-11-28 09:43:38,152] Epoch 22, Loss 0.4118485152721405
[2023-11-28 09:43:39,377] Epoch 23, Loss 2.365593433380127
[2023-11-28 09:43:40,072] Epoch 24, Loss 2.3533101081848145
[2023-11-28 09:43:41,574] Epoch 25, Loss 0.9421197772026062
[2023-11-28 09:43:42,903] Epoch 26, Loss 1.6051822900772095
[2023-11-28 09:43:44,069] Epoch 27, Loss 0.434097021818161
[2023-11-28 09:43:45,266] Epoch 28, Loss 19.167526245117188
[2023-11-28 09:43:46,760] Epoch 29, Loss 6.716716766357422
[2023-11-28 09:43:48,832] Epoch 30, Loss 9.112845420837402
[2023-11-28 09:43:50,120] Epoch 31, Loss 17.631214141845703
[2023-11-28 09:43:50,661] Epoch 32, Loss 0.6659579873085022
[2023-11-28 09:43:53,204] Epoch 33, Loss 2.8687169551849365
[2023-11-28 09:43:54,094] Epoch 34, Loss 1.0281003713607788
[2023-11-28 09:43:55,207] Epoch 35, Loss 19.154216766357422
[2023-11-28 09:43:56,407] Epoch 36, Loss 1.7546579837799072
[2023-11-28 09:43:58,249] Epoch 37, Loss 10.665230751037598
[2023-11-28 09:43:59,724] Epoch 38, Loss 0.8046317100524902
[2023-11-28 09:47:15,507] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:47:17,530] Epoch 1, Loss 11.989656448364258
[2023-11-28 09:47:18,061] Epoch 2, Loss 17.462657928466797
[2023-11-28 09:47:18,846] Epoch 3, Loss 25.736248016357422
[2023-11-28 09:47:21,272] Epoch 4, Loss 25.037288665771484
[2023-11-28 09:47:21,679] Epoch 5, Loss 0.875032365322113
[2023-11-28 09:47:22,958] Epoch 6, Loss 2.054330825805664
[2023-11-28 09:47:24,474] Epoch 7, Loss 17.962400436401367
[2023-11-28 09:47:24,819] Epoch 8, Loss 17.344877243041992
[2023-11-28 09:47:26,141] Epoch 9, Loss 19.16160011291504
[2023-11-28 09:47:26,540] Epoch 10, Loss 17.333097457885742
[2023-11-28 09:47:27,905] Epoch 11, Loss 4.970512390136719
[2023-11-28 09:47:28,720] Epoch 12, Loss 1.2787387371063232
[2023-11-28 09:47:31,042] Epoch 13, Loss 35.1412353515625
[2023-11-28 09:47:31,985] Epoch 14, Loss 17.78298568725586
[2023-11-28 09:47:33,920] Epoch 15, Loss 28.382577896118164
[2023-11-28 09:47:34,200] Epoch 16, Loss 8.706787109375
[2023-11-28 09:47:35,427] Epoch 17, Loss 18.979568481445312
[2023-11-28 09:47:36,442] Epoch 18, Loss 11.671542167663574
[2023-11-28 09:47:37,855] Epoch 19, Loss 36.90157699584961
[2023-11-28 09:47:39,141] Epoch 20, Loss 4.608687400817871
[2023-11-28 09:50:03,328] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:50:05,005] Epoch 1, Loss 22.586050033569336
[2023-11-28 09:50:06,979] Epoch 2, Loss 20.916399002075195
[2023-11-28 09:50:09,926] Epoch 3, Loss 42.873199462890625
[2023-11-28 09:50:11,734] Epoch 4, Loss 3.6698989868164062
[2023-11-28 09:50:13,966] Epoch 5, Loss 10.129688262939453
[2023-11-28 09:50:16,021] Epoch 6, Loss 0.1086556538939476
[2023-11-28 09:50:46,662] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:50:48,502] Epoch 1, Loss 46.410945892333984
[2023-11-28 09:50:49,235] Epoch 2, Loss 0.2168126106262207
[2023-11-28 09:52:19,532] File ./models_wzlen/best.h5 does not exist
[2023-11-28 09:52:20,536] Epoch 1, Loss 5.641849994659424
[2023-11-28 09:52:22,278] Epoch 2, Loss 1.3582102060317993
[2023-11-28 09:52:24,050] Epoch 3, Loss 23.050569534301758
[2023-11-28 09:52:26,887] Epoch 4, Loss 36.53380584716797
[2023-11-28 09:52:27,653] Epoch 5, Loss 9.615873336791992
[2023-11-28 09:52:28,031] Epoch 6, Loss 0.17318660020828247
[2023-11-28 09:52:28,659] Epoch 7, Loss 1.354466199874878
[2023-11-28 09:52:30,331] Epoch 8, Loss 18.79037857055664
[2023-11-28 09:52:32,721] Epoch 9, Loss 4.376074314117432
[2023-11-28 09:52:34,199] Epoch 10, Loss 1.7169944047927856
[2023-11-28 09:52:35,579] Epoch 11, Loss 17.646522521972656
[2023-11-28 09:52:38,537] Epoch 12, Loss 53.505218505859375
[2023-11-28 09:52:39,097] Epoch 13, Loss 0.37240132689476013
[2023-11-28 09:52:41,102] Epoch 14, Loss 18.750202178955078
[2023-11-28 09:52:42,168] Epoch 15, Loss 1.1317126750946045
[2023-11-28 09:52:44,456] Epoch 16, Loss 19.622459411621094
[2023-11-28 09:52:45,713] Epoch 17, Loss 1.6144006252288818
[2023-11-28 09:52:48,055] Epoch 18, Loss 52.351036071777344
[2023-11-28 09:52:49,429] Epoch 19, Loss 35.73164749145508
[2023-11-28 09:52:50,867] Epoch 20, Loss 18.823720932006836
[2023-11-28 09:52:52,813] Epoch 21, Loss 20.812040328979492
[2023-11-28 09:52:54,272] Epoch 22, Loss 44.50445556640625
[2023-11-28 09:52:56,248] Epoch 23, Loss 54.69664001464844
[2023-11-28 09:52:57,558] Epoch 24, Loss 19.652698516845703
[2023-11-28 09:52:58,228] Epoch 25, Loss 0.8006849884986877
[2023-11-28 09:52:59,601] Epoch 26, Loss 10.970877647399902
[2023-11-28 09:53:00,158] Epoch 27, Loss 17.522258758544922
[2023-11-28 09:53:02,878] Epoch 28, Loss 45.29637145996094
[2023-11-28 09:53:03,716] Epoch 29, Loss 17.890464782714844
[2023-11-28 09:53:06,245] Epoch 30, Loss 29.764511108398438
[2023-11-28 09:53:08,915] Epoch 31, Loss 54.122379302978516
[2023-11-28 09:53:10,721] Epoch 32, Loss 0.9868455529212952
[2023-11-28 09:53:10,940] Epoch 33, Loss 17.70604133605957
[2023-11-28 09:53:13,465] Epoch 34, Loss 1.5383647680282593
[2023-11-28 09:53:16,075] Epoch 35, Loss 21.91326904296875
[2023-11-28 09:53:16,921] Epoch 36, Loss 0.6902880072593689
[2023-11-28 09:53:17,640] Epoch 37, Loss 18.105730056762695
[2023-11-28 09:53:18,010] Epoch 38, Loss 0.24547843635082245
[2023-11-28 09:53:18,569] Epoch 39, Loss 1.6917052268981934
[2023-11-28 09:53:18,894] Epoch 40, Loss 1.0189921855926514
[2023-11-28 09:53:19,874] Epoch 41, Loss 17.239274978637695
[2023-11-28 09:53:23,258] Epoch 42, Loss 22.668087005615234
[2023-11-28 09:53:24,076] Epoch 43, Loss 8.740057945251465
[2023-11-28 09:53:25,778] Epoch 44, Loss 3.629143238067627
[2023-11-28 09:53:26,354] Epoch 45, Loss 0.21803390979766846
[2023-11-28 09:53:29,662] Epoch 46, Loss 21.880958557128906
[2023-11-28 09:53:31,413] Epoch 47, Loss 0.9929540753364563
[2023-11-28 09:53:32,570] Epoch 48, Loss 1.1089627742767334
[2023-11-28 09:53:33,337] Epoch 49, Loss 17.939769744873047
[2023-11-28 09:53:34,408] Epoch 50, Loss 1.7082860469818115
[2023-11-28 09:53:34,409] Saved model at ./models_wzlen/epoch_50.h5
[2023-11-28 09:53:34,410] Loaded existing model at ./models_wzlen/epoch_50.h5
[2023-11-28 09:54:44,877] Saved model at ./models_wzlen/best.h5
[2023-11-28 09:54:44,877] ./models_wzlen/epoch_50.h5 is saved as the strongest model
[2023-11-28 09:54:47,162] Epoch 51, Loss 20.297426223754883
[2023-11-28 09:54:48,647] Epoch 52, Loss 28.782569885253906
[2023-11-28 09:54:50,937] Epoch 53, Loss 30.427263259887695
[2023-11-28 09:54:53,775] Epoch 54, Loss 22.380708694458008
[2023-11-28 09:54:55,889] Epoch 55, Loss 19.281084060668945
[2023-11-28 09:54:57,399] Epoch 56, Loss 18.16963768005371
[2023-11-28 09:54:58,019] Epoch 57, Loss 0.7484420537948608
[2023-11-28 09:54:58,465] Epoch 58, Loss 0.23952794075012207
[2023-11-28 09:54:59,630] Epoch 59, Loss 17.20395278930664
[2023-11-28 09:55:00,124] Epoch 60, Loss 17.644323348999023
[2023-11-28 09:55:00,446] Epoch 61, Loss 0.200625479221344
[2023-11-28 09:55:00,749] Epoch 62, Loss 0.23206031322479248
