[2023-11-28 11:35:35,055] File ./models_wzno/best.h5 does not exist
[2023-11-28 11:35:36,559] Epoch 1, Loss 3.350339889526367
[2023-11-28 11:35:38,415] Epoch 2, Loss 18.518281936645508
[2023-11-28 11:35:40,056] Epoch 3, Loss 50.7144775390625
[2023-11-28 11:35:41,866] Epoch 4, Loss 35.775577545166016
[2023-11-28 11:35:43,961] Epoch 5, Loss 1.5265603065490723
[2023-11-28 11:35:47,647] Epoch 6, Loss 27.557533264160156
[2023-11-28 11:35:49,297] Epoch 7, Loss 10.044798851013184
[2023-11-28 11:35:51,505] Epoch 8, Loss 1.1906638145446777
[2023-11-28 11:35:54,369] Epoch 9, Loss 3.3445019721984863
[2023-11-28 11:35:55,722] Epoch 10, Loss 9.732872009277344
[2023-11-28 11:35:57,601] Epoch 11, Loss 2.2987124919891357
[2023-11-28 11:35:58,623] Epoch 12, Loss 9.433850288391113
[2023-11-28 11:36:00,038] Epoch 13, Loss 18.35527801513672
[2023-11-28 11:36:00,660] Epoch 14, Loss 0.7759064435958862
[2023-11-28 11:36:02,769] Epoch 15, Loss 21.194921493530273
[2023-11-28 11:36:03,824] Epoch 16, Loss 18.807369232177734
[2023-11-28 11:36:04,469] Epoch 17, Loss 0.508294403553009
[2023-11-28 11:36:07,826] Epoch 18, Loss 55.07001876831055
[2023-11-28 11:36:09,089] Epoch 19, Loss 17.908958435058594
[2023-11-28 11:36:09,489] Epoch 20, Loss 1.0676215887069702
[2023-11-28 11:36:11,833] Epoch 21, Loss 10.588662147521973
[2023-11-28 11:36:13,154] Epoch 22, Loss 2.5621471405029297
[2023-11-28 11:36:14,157] Epoch 23, Loss 18.86541748046875
[2023-11-28 11:36:16,541] Epoch 24, Loss 4.038341045379639
[2023-11-28 11:36:17,931] Epoch 25, Loss 8.953185081481934
[2023-11-28 11:36:18,623] Epoch 26, Loss 17.268423080444336
[2023-11-28 11:36:20,460] Epoch 27, Loss 35.96196746826172
[2023-11-28 11:36:22,981] Epoch 28, Loss 54.929500579833984
[2023-11-28 11:36:23,545] Epoch 29, Loss 0.3995296359062195
[2023-11-28 11:36:26,239] Epoch 30, Loss 45.418460845947266
[2023-11-28 11:36:27,424] Epoch 31, Loss 18.05984878540039
[2023-11-28 11:36:30,080] Epoch 32, Loss 19.020118713378906
[2023-11-28 11:36:30,829] Epoch 33, Loss 17.51171112060547
[2023-11-28 11:36:32,870] Epoch 34, Loss 53.28358840942383
[2023-11-28 11:36:34,441] Epoch 35, Loss 44.12062072753906
[2023-11-28 11:36:36,541] Epoch 36, Loss 8.919297218322754
[2023-11-28 11:36:38,622] Epoch 37, Loss 2.4592480659484863
[2023-11-28 11:36:39,494] Epoch 38, Loss 18.581809997558594
[2023-11-28 11:36:41,337] Epoch 39, Loss 18.940139770507812
[2023-11-28 11:36:42,967] Epoch 40, Loss 0.6017053127288818
[2023-11-28 11:36:45,230] Epoch 41, Loss 20.540569305419922
[2023-11-28 11:36:48,339] Epoch 42, Loss 12.178333282470703
[2023-11-28 11:36:50,402] Epoch 43, Loss 37.776527404785156
[2023-11-28 11:36:51,256] Epoch 44, Loss 0.5148188471794128
[2023-11-28 11:36:52,528] Epoch 45, Loss 18.173614501953125
[2023-11-28 11:36:55,487] Epoch 46, Loss 11.359188079833984
[2023-11-28 11:36:56,951] Epoch 47, Loss 26.894756317138672
[2023-11-28 11:36:57,917] Epoch 48, Loss 0.6708711981773376
[2023-11-28 11:36:59,202] Epoch 49, Loss 19.374916076660156
[2023-11-28 11:37:01,100] Epoch 50, Loss 2.6514954566955566
[2023-11-28 11:37:01,101] Saved model at ./models_wzno/epoch_50.h5
[2023-11-28 11:37:03,576] Epoch 51, Loss 19.897592544555664
[2023-11-28 11:37:06,741] Epoch 52, Loss 5.269718647003174
