[2023-12-26 21:10:24,906] numPlayouts: 1000, win: 0, lose: 10, tie: 0, avgCurrStarted: 0.5
[2023-12-26 21:15:06,902] numPlayouts: 1000, win: 1, lose: 9, tie: 0, avgCurrStarted: 0.6
[2023-12-26 21:20:01,182] numPlayouts: 1000, win: 2, lose: 8, tie: 0, avgCurrStarted: 0.5
[2023-12-26 21:24:41,449] numPlayouts: 1000, win: 2, lose: 8, tie: 0, avgCurrStarted: 0.4
[2023-12-26 21:29:31,739] numPlayouts: 1000, win: 2, lose: 8, tie: 0, avgCurrStarted: 0.6
[2023-12-26 21:34:06,450] numPlayouts: 1000, win: 0, lose: 10, tie: 0, avgCurrStarted: 0.4
[2023-12-26 21:39:02,098] numPlayouts: 1000, win: 1, lose: 9, tie: 0, avgCurrStarted: 0.3
[2023-12-26 21:44:06,398] numPlayouts: 1000, win: 1, lose: 9, tie: 0, avgCurrStarted: 0.3
[2023-12-26 21:49:10,283] numPlayouts: 1000, win: 1, lose: 9, tie: 0, avgCurrStarted: 0.6
[2023-12-26 21:54:15,938] numPlayouts: 1000, win: 5, lose: 5, tie: 0, avgCurrStarted: 0.5
[2023-12-26 21:59:31,367] numPlayouts: 1000, win: 3, lose: 7, tie: 0, avgCurrStarted: 0.4
[2023-12-26 22:05:01,351] numPlayouts: 1000, win: 5, lose: 5, tie: 0, avgCurrStarted: 0.4
[2023-12-26 22:10:12,606] numPlayouts: 1000, win: 4, lose: 6, tie: 0, avgCurrStarted: 0.3
[2023-12-26 22:15:27,715] numPlayouts: 1000, win: 3, lose: 7, tie: 0, avgCurrStarted: 0.6
[2023-12-26 22:20:30,671] numPlayouts: 1000, win: 6, lose: 4, tie: 0, avgCurrStarted: 0.6
[2023-12-26 22:25:11,217] numPlayouts: 1000, win: 4, lose: 6, tie: 0, avgCurrStarted: 0.6
[2023-12-26 22:29:36,572] numPlayouts: 1000, win: 1, lose: 9, tie: 0, avgCurrStarted: 0.4
[2023-12-26 22:34:35,537] numPlayouts: 1000, win: 7, lose: 3, tie: 0, avgCurrStarted: 0.6
[2023-12-26 22:39:51,984] numPlayouts: 1000, win: 8, lose: 2, tie: 0, avgCurrStarted: 0.8
[2023-12-26 22:45:09,979] numPlayouts: 1000, win: 6, lose: 4, tie: 0, avgCurrStarted: 0.7
[2023-12-26 22:50:24,537] numPlayouts: 1000, win: 8, lose: 2, tie: 0, avgCurrStarted: 0.7
[2023-12-26 22:55:36,175] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.5
[2023-12-26 23:00:02,444] numPlayouts: 1000, win: 8, lose: 2, tie: 0, avgCurrStarted: 0.5
[2023-12-26 23:04:57,984] numPlayouts: 1000, win: 7, lose: 3, tie: 0, avgCurrStarted: 0.7
[2023-12-26 23:09:32,638] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.6
[2023-12-26 23:14:15,333] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.6
[2023-12-26 23:19:04,618] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.4
[2023-12-26 23:23:38,985] numPlayouts: 1000, win: 8, lose: 2, tie: 0, avgCurrStarted: 0.3
[2023-12-26 23:28:18,082] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.5
[2023-12-26 23:32:46,723] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.5
[2023-12-27 09:06:02,992] numPlayouts: 1000, win: 6, lose: 4, tie: 0, avgCurrStarted: 0.6
[2023-12-27 09:10:55,224] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.4
[2023-12-27 09:15:56,708] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.9
[2023-12-27 09:21:00,846] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.6
[2023-12-27 09:26:32,531] numPlayouts: 1000, win: 9, lose: 1, tie: 0, avgCurrStarted: 0.4
[2023-12-27 09:32:11,382] numPlayouts: 1000, win: 10, lose: 0, tie: 0, avgCurrStarted: 0.6
