,FLAT_started_FLAT_won,ZERO_started_FLAT_won,FLAT_started_Tie,ZERO_started_Tie,FLAT_started_ZERO_won,ZERO_started_ZERO_won
0,,,,,,29.0
1,,,,,30.0,
2,,,,,,29.0
3,,,,,,29.0
4,,,,,30.0,
5,,,,,30.0,
6,,,,,,29.0
7,,,,,30.0,
8,,,,,30.0,
9,,,,,,29.0
10,,,,,30.0,
11,,,,,,29.0
12,,,,,,29.0
13,,,,,30.0,
14,,,,,30.0,
15,,,,,30.0,
16,,,,,,29.0
17,,,,,,29.0
18,,,,,30.0,
19,,,,,30.0,
20,,,,,30.0,
21,,,,,30.0,
22,,,,,,29.0
23,,,,,,29.0
24,,,,,,29.0
25,,,,,,29.0
26,,,,,,29.0
27,,,,,,29.0
28,,,,,30.0,
29,,,,,30.0,
30,,,,,,29.0
31,,,,,,29.0
32,,,,,30.0,
33,,,,,,29.0
34,,,,,30.0,
35,,,,,30.0,
36,,,,,,29.0
37,,,,,30.0,
38,,,,,,29.0
39,,,,,30.0,
40,,,,,30.0,
41,,,,,,29.0
42,,,,,30.0,
43,,,,,,29.0
44,,,,,30.0,
45,,,,,30.0,
46,,,,,30.0,
47,,,,,30.0,
48,,,,,30.0,
49,,,,,30.0,
