,ZEROX_v1_started_ZEROX_v1_won,ZEROX_v5_started_ZEROX_v1_won,ZEROX_v1_started_Tie,ZEROX_v5_started_Tie,ZEROX_v1_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,10.0,
1,,,,,,11.0
2,,,,,,9.0
3,,,,,,11.0
4,,,,,,13.0
5,,,,,18.0,
6,,,,,,11.0
7,13.0,,,,,
8,,,,,12.0,
9,,,,,,11.0
10,,,,,,11.0
11,,,,,16.0,
12,,,,,10.0,
13,,,,,12.0,
14,,,,,18.0,
15,,,,,18.0,
16,,,,,,11.0
17,,,,,,15.0
18,,,,,,9.0
19,,,,,,9.0
20,9.0,,,,,
21,,,,,,11.0
22,21.0,,,,,
23,,,,,,15.0
24,,,,,12.0,
25,,,,,12.0,
26,,,,,10.0,
27,,,,,,13.0
28,,,,,12.0,
29,,,,,,15.0
30,,,,,12.0,
31,,,,,,9.0
32,,,,,10.0,
33,,,,,,11.0
34,,,,,12.0,
35,,,,,,11.0
36,,,,,,9.0
37,,,,,,17.0
38,,,,,12.0,
39,,,,,,9.0
40,,,,,,17.0
41,,,,,12.0,
42,,,,,12.0,
43,,,,,,13.0
44,,,,,18.0,
45,,,,,,11.0
46,,,,,32.0,
47,,,,,12.0,
48,,,,,,9.0
49,,,,,,9.0
