,ZERO_v2_started_ZERO_v2_won,ZERO_v5_started_ZERO_v2_won,ZERO_v2_started_Tie,ZERO_v5_started_Tie,ZERO_v2_started_ZERO_v5_won,ZERO_v5_started_ZERO_v5_won
0,,,,,,9.0
1,,,,,18.0,
2,,,,,,9.0
3,,,,,,11.0
4,,,,,,17.0
5,,,,,18.0,
6,,,,,,9.0
7,,,,,,15.0
8,,,,,,9.0
9,,,,,,11.0
10,,,,,,9.0
11,,,,,,15.0
12,,,,,,17.0
13,25.0,,,,,
14,,,,,,11.0
15,,,,,24.0,
16,,,,,,11.0
17,,,,,16.0,
18,,,,,14.0,
19,,,,,,11.0
20,,,,,,9.0
21,,,,,,11.0
22,17.0,,,,,
23,,,,,,11.0
24,21.0,,,,,
25,,,,,,17.0
26,,,,,,15.0
27,,,,,12.0,
28,,,,,14.0,
29,,,,,,11.0
30,,,,,,11.0
31,,,,,10.0,
32,,,,,,9.0
33,35.0,,,,,
34,9.0,,,,,
35,,,,,,27.0
36,23.0,,,,,
37,,,,,,9.0
38,,,,,,9.0
39,,,,,,9.0
40,,,,,,11.0
41,,,,,,9.0
42,,,,,14.0,
43,,,,,,23.0
44,,,,,,9.0
45,,,,,,13.0
46,,,,,16.0,
47,,,,,,11.0
48,,,,,,11.0
49,,,,,,9.0
