,ZERO_v5_started_ZERO_v5_won,ZEROX_v5_started_ZERO_v5_won,ZERO_v5_started_Tie,ZEROX_v5_started_Tie,ZERO_v5_started_ZEROX_v5_won,ZEROX_v5_started_ZEROX_v5_won
0,,,,,,39.0
1,,30.0,,,,
2,,,,,,13.0
3,,,,,,21.0
4,19.0,,,,,
5,,,,,,11.0
6,13.0,,,,,
7,11.0,,,,,
8,,,,,,11.0
9,,,,,,15.0
10,21.0,,,,,
11,,,,,,27.0
12,,,,,,27.0
13,17.0,,,,,
14,,,,,,25.0
15,,,,,,15.0
16,21.0,,,,,
17,13.0,,,,,
18,19.0,,,,,
19,,,,,,23.0
20,,,,,,21.0
21,,,,,,11.0
22,,,,,,9.0
23,,,,,,35.0
24,,,,,,23.0
25,19.0,,,,,
26,,,,,,15.0
27,,28.0,,,,
28,,,,,,21.0
29,,,,,,19.0
30,25.0,,,,,
31,,,,,,11.0
32,,,,,,19.0
33,,,,,,23.0
34,17.0,,,,,
35,,28.0,,,,
36,,,,,,23.0
37,,,,,,19.0
38,13.0,,,,,
39,,,,,48.0,
40,,,,,,23.0
41,,,,,,21.0
42,25.0,,,,,
43,,,,,,27.0
44,,,,,,13.0
45,,22.0,,,,
46,,,,,,13.0
47,,22.0,,,,
48,,,,,26.0,
49,19.0,,,,,
