,FLAT_v2_started_FLAT_v2_won,UCT_2000_started_FLAT_v2_won,FLAT_v2_started_Tie,UCT_2000_started_Tie,FLAT_v2_started_UCT_2000_won,UCT_2000_started_UCT_2000_won
0,9.0,,,,,
1,,12.0,,,,
2,,,,,,11.0
3,7.0,,,,,
4,,10.0,,,,
5,13.0,,,,,
6,,,,,,9.0
7,,14.0,,,,
8,,,,,,11.0
9,,,,,,21.0
10,7.0,,,,,
11,,10.0,,,,
12,,8.0,,,,
13,11.0,,,,,
14,,,,,,9.0
15,,,,,,15.0
16,,,,,,11.0
17,,,,,,13.0
18,,,,,,9.0
19,,,,,,13.0
20,7.0,,,,,
21,,,,,14.0,
22,,10.0,,,,
23,7.0,,,,,
24,,8.0,,,,
25,,10.0,,,,
26,,,,,,11.0
27,,,,,,7.0
28,,,,,,11.0
29,11.0,,,,,
30,7.0,,,,,
31,7.0,,,,,
32,,10.0,,,,
33,,,,,,11.0
34,,,,,,9.0
35,7.0,,,,,
36,,,,,,15.0
37,7.0,,,,,
38,,14.0,,,,
39,,,,,,11.0
40,,,,,,9.0
41,,8.0,,,,
42,7.0,,,,,
43,7.0,,,,,
44,,10.0,,,,
45,,,,,,17.0
46,9.0,,,,,
47,,10.0,,,,
48,9.0,,,,,
49,11.0,,,,,
