,FLAT_v2_started_FLAT_v2_won,ZEROX_v2_started_FLAT_v2_won,FLAT_v2_started_Tie,ZEROX_v2_started_Tie,FLAT_v2_started_ZEROX_v2_won,ZEROX_v2_started_ZEROX_v2_won
0,,,,,,13.0
1,,,,,,9.0
2,,,,,12.0,
3,,,,,,9.0
4,,,,,16.0,
5,,,,,,7.0
6,7.0,,,,,
7,,,,,,13.0
8,7.0,,,,,
9,,,,,,15.0
10,,,,,28.0,
11,7.0,,,,,
12,,,,,10.0,
13,,,,,,9.0
14,,,,,,7.0
15,,,,,,11.0
16,11.0,,,,,
17,,,,,,11.0
18,,,,,,13.0
19,11.0,,,,,
20,9.0,,,,,
21,,,,,,11.0
22,,,,,10.0,
23,,,,,22.0,
24,,,,,10.0,
25,,,,,12.0,
26,,,,,12.0,
27,,,36.0,,,
28,,,,,12.0,
29,,,36.0,,,
30,,,,,,7.0
31,,,,,18.0,
32,,,,,,13.0
33,,,,,,11.0
34,,,,,18.0,
35,13.0,,,,,
36,,,,,,17.0
37,,,,,,9.0
38,,,,,14.0,
39,,,,,8.0,
40,,,,,,13.0
41,,,,,,13.0
42,11.0,,,,,
43,,,,,8.0,
44,7.0,,,,,
45,,,,,,9.0
46,,,,,14.0,
47,,,,,,13.0
48,,,,,,9.0
49,,,,,8.0,
