,FLAT_v3_started_FLAT_v3_won,ZERO_v3_started_FLAT_v3_won,FLAT_v3_started_Tie,ZERO_v3_started_Tie,FLAT_v3_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,14.0,
1,,,,,,11.0
2,,,,,,15.0
3,,,,,,9.0
4,13.0,,,,,
5,,,,,,9.0
6,,,,,,9.0
7,,,,,,13.0
8,,,,,8.0,
9,,,,,,15.0
10,9.0,,,,,
11,15.0,,,,,
12,13.0,,,,,
13,,,,,12.0,
14,,,,,,7.0
15,,,,,10.0,
16,,,,,,15.0
17,,,,,10.0,
18,7.0,,,,,
19,9.0,,,,,
20,,,,,10.0,
21,,,,,,11.0
22,,,,,,13.0
23,,,,,,13.0
24,13.0,,,,,
25,,,,,,9.0
26,7.0,,,,,
27,9.0,,,,,
28,,,,,12.0,
29,,,,,12.0,
30,9.0,,,,,
31,,,,,,23.0
32,,,,,20.0,
33,,,,,,17.0
34,,,,,12.0,
35,,,,,,9.0
36,,,,,,9.0
37,13.0,,,,,
38,,,,,,9.0
39,,,,,,9.0
40,9.0,,,,,
41,,,,,12.0,
42,,,,,,19.0
43,,,,,,9.0
44,,,,,,11.0
45,7.0,,,,,
46,9.0,,,,,
47,,,,,16.0,
48,,,,,10.0,
49,,,,,,9.0
