,ZEROX_v2_started_ZEROX_v2_won,FLAT_v2_started_ZEROX_v2_won,ZEROX_v2_started_Tie,FLAT_v2_started_Tie,ZEROX_v2_started_FLAT_v2_won,FLAT_v2_started_FLAT_v2_won
0,,14.0,,,,
1,,10.0,,,,
2,,10.0,,,,
3,17.0,,,,,
4,9.0,,,,,
5,,18.0,,,,
6,,,,,,11.0
7,,,,,,13.0
8,11.0,,,,,
9,13.0,,,,,
10,7.0,,,,,
11,,8.0,,,,
12,,,,,,13.0
13,,,,,,21.0
14,19.0,,,,,
15,,8.0,,,,
16,,,,,,11.0
17,13.0,,,,,
18,17.0,,,,,
19,19.0,,,,,
20,,12.0,,,,
21,,,,,,9.0
22,13.0,,,,,
23,,,,,,7.0
24,,10.0,,,,
25,,10.0,,,,
26,13.0,,,,,
27,9.0,,,,,
28,13.0,,,,,
29,,,,,,11.0
30,13.0,,,,,
31,15.0,,,,,
32,13.0,,,,,
33,9.0,,,,,
34,,,,,,11.0
35,7.0,,,,,
36,,,,,,9.0
37,,,,,,13.0
38,,,,,,13.0
39,,,,,,9.0
40,,16.0,,,,
41,,10.0,,,,
42,13.0,,,,,
43,,,,,,11.0
44,13.0,,,,,
45,,,,,,13.0
46,,12.0,,,,
47,15.0,,,,,
48,,,,,,11.0
49,,16.0,,,,
