,ZEROX_v3_started_ZEROX_v3_won,UCT_3000_started_ZEROX_v3_won,ZEROX_v3_started_Tie,UCT_3000_started_Tie,ZEROX_v3_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,7.0,,,,,
1,7.0,,,,,
2,,,,,,13.0
3,13.0,,,,,
4,7.0,,,,,
5,,8.0,,,,
6,7.0,,,,,
7,,14.0,,,,
8,7.0,,,,,
9,,12.0,,,,
10,,10.0,,,,
11,,,,,,11.0
12,,10.0,,,,
13,,,,,,9.0
14,,10.0,,,,
15,7.0,,,,,
16,7.0,,,,,
17,,14.0,,,,
18,,,,,,11.0
19,,12.0,,,,
20,,,,,,15.0
21,,14.0,,,,
22,7.0,,,,,
23,7.0,,,,,
24,,,,,,13.0
25,7.0,,,,,
26,,14.0,,,,
27,7.0,,,,,
28,9.0,,,,,
29,11.0,,,,,
30,7.0,,,,,
31,,,,,,11.0
32,11.0,,,,,
33,7.0,,,,,
34,7.0,,,,,
35,11.0,,,,,
36,,14.0,,,,
37,,10.0,,,,
38,,,,,,17.0
39,7.0,,,,,
40,15.0,,,,,
41,11.0,,,,,
42,,,,,,11.0
43,7.0,,,,,
44,9.0,,,,,
45,7.0,,,,,
46,7.0,,,,,
47,7.0,,,,,
48,,14.0,,,,
49,,,,,,9.0
