,ZEROX_v3_started_ZEROX_v3_won,ZERO_v3_started_ZEROX_v3_won,ZEROX_v3_started_Tie,ZERO_v3_started_Tie,ZEROX_v3_started_ZERO_v3_won,ZERO_v3_started_ZERO_v3_won
0,,,,,,11.0
1,,,,,,15.0
2,,,,,,9.0
3,13.0,,,,,
4,,,,,12.0,
5,,,,36.0,,
6,,,,,,13.0
7,13.0,,,,,
8,,,,,,7.0
9,,14.0,,,,
10,,,,,,27.0
11,23.0,,,,,
12,9.0,,,,,
13,,12.0,,,,
14,,,,,,9.0
15,,,,,,9.0
16,9.0,,,,,
17,,,,,,9.0
18,,,,,,9.0
19,11.0,,,,,
20,,,,,,9.0
21,,,,,,13.0
22,,,,,,9.0
23,,,,,,15.0
24,,,,,,15.0
25,,,,,,13.0
26,,,,,,9.0
27,,,,,,9.0
28,17.0,,,,,
29,17.0,,,,,
30,,12.0,,,,
31,,,,,,9.0
32,,,,,,17.0
33,,,,,,15.0
34,,,,,12.0,
35,9.0,,,,,
36,,,,,,19.0
37,,,,,,11.0
38,,,,,12.0,
39,,,,,,9.0
40,,,,,,9.0
41,,,,36.0,,
42,9.0,,,,,
43,,,,,,19.0
44,,,,,,9.0
45,,,,,,9.0
46,,,,,12.0,
47,15.0,,,,,
48,,,,,,7.0
49,9.0,,,,,
