,ZERO_v1_started_ZERO_v1_won,FLAT_v1_started_ZERO_v1_won,ZERO_v1_started_Tie,FLAT_v1_started_Tie,ZERO_v1_started_FLAT_v1_won,FLAT_v1_started_FLAT_v1_won
0,,,,36.0,,
1,,,,,,15.0
2,,,,,,17.0
3,11.0,,,,,
4,19.0,,,,,
5,11.0,,,,,
6,,,,36.0,,
7,,,,,,13.0
8,,10.0,,,,
9,9.0,,,,,
10,27.0,,,,,
11,,12.0,,,,
12,21.0,,,,,
13,,10.0,,,,
14,9.0,,,,,
15,,,36.0,,,
16,,22.0,,,,
17,11.0,,,,,
18,11.0,,,,,
19,9.0,,,,,
20,13.0,,,,,
21,11.0,,,,,
22,13.0,,,,,
23,9.0,,,,,
24,,14.0,,,,
25,,28.0,,,,
26,13.0,,,,,
27,,12.0,,,,
28,21.0,,,,,
29,13.0,,,,,
30,,12.0,,,,
31,9.0,,,,,
32,,14.0,,,,
33,13.0,,,,,
34,,10.0,,,,
35,,14.0,,,,
36,,16.0,,,,
37,,,,36.0,,
38,13.0,,,,,
39,,8.0,,,,
40,15.0,,,,,
41,,14.0,,,,
42,17.0,,,,,
43,11.0,,,,,
44,,14.0,,,,
45,15.0,,,,,
46,17.0,,,,,
47,13.0,,,,,
48,,12.0,,,,
49,,10.0,,,,
