,FLAT_started_FLAT_won,UCT_3000_started_FLAT_won,FLAT_started_Tie,UCT_3000_started_Tie,FLAT_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,,,,,10.0,
1,,,,,10.0,
2,,,,,,21.0
3,,,,,,9.0
4,,,,,20.0,
5,,,,,10.0,
6,17.0,,,,,
7,,,,,,29.0
8,,,,,10.0,
9,,,,,,31.0
10,,,,,,13.0
11,,,,,14.0,
12,,,,,14.0,
13,,,,,,17.0
14,,,,,,11.0
15,,,,,,9.0
16,,,,,,9.0
17,,,,,,41.0
18,,,,,,9.0
19,,,,,,17.0
20,,,,,,11.0
21,,,,,,13.0
22,,,,,14.0,
23,,,,,12.0,
24,15.0,,,,,
25,9.0,,,,,
26,,,,,,15.0
27,,,,,20.0,
28,,,,,10.0,
29,,,,,,11.0
30,,,,,,29.0
31,,,,,,11.0
32,,,,,,11.0
33,,,,,10.0,
34,,,,,,17.0
35,25.0,,,,,
36,,,,,,13.0
37,11.0,,,,,
38,,,,,10.0,
39,,,,,,17.0
40,,,,,16.0,
41,,,,,14.0,
42,15.0,,,,,
43,,,,,,13.0
44,11.0,,,,,
45,,,,,,13.0
46,,,,,14.0,
47,,,,,16.0,
48,,,,,,25.0
49,15.0,,,,,
