,FLAT_v1_started_FLAT_v1_won,FLAT_v3_started_FLAT_v1_won,FLAT_v1_started_Tie,FLAT_v3_started_Tie,FLAT_v1_started_FLAT_v3_won,FLAT_v3_started_FLAT_v3_won
0,,,,,14.0,
1,11.0,,,,,
2,,,,,12.0,
3,,,,,12.0,
4,,,,,,9.0
5,,,,,,11.0
6,,,,,,9.0
7,,,,,12.0,
8,,18.0,,,,
9,,,,,10.0,
10,,,,,12.0,
11,11.0,,,,,
12,,,,,,11.0
13,,,,,,13.0
14,,,,,12.0,
15,,,,,,11.0
16,,,,,14.0,
17,,,,,10.0,
18,,,,,10.0,
19,,,,,12.0,
20,,,,,14.0,
21,,,,,,11.0
22,,,,,12.0,
23,,,,,12.0,
24,,,,,,11.0
25,,,,,12.0,
26,,,,,12.0,
27,11.0,,,,,
28,,,,,,13.0
29,11.0,,,,,
30,,,,,,9.0
31,,,,,,11.0
32,,,,,,9.0
33,,,,,12.0,
34,,,,,12.0,
35,11.0,,,,,
36,,,,,12.0,
37,,,,,,13.0
38,,,,,12.0,
39,,,,,12.0,
40,,,,,12.0,
41,,,,,14.0,
42,,,,,,11.0
43,,,,,,11.0
44,,,,,12.0,
45,,,,,,11.0
46,,,,,,11.0
47,,,,,,15.0
48,13.0,,,,,
49,,,,,,11.0
