,ZERO_started_ZERO_won,UCT_4500_started_ZERO_won,ZERO_started_Tie,UCT_4500_started_Tie,ZERO_started_UCT_4500_won,UCT_4500_started_UCT_4500_won
0,,,,,14.0,
1,,,,,,9.0
2,,,,,42.0,
3,,12.0,,,,
4,,,,,30.0,
5,,,,,,13.0
6,,,,,,11.0
7,,,,,,27.0
8,,,,,18.0,
9,,,,,28.0,
10,,,,,,17.0
11,25.0,,,,,
12,,,,,10.0,
13,,,,,16.0,
14,,,,,,11.0
15,,,,,,19.0
16,,,,,14.0,
17,,,,,10.0,
18,,,,,,11.0
19,,,,,12.0,
20,,,,,,13.0
21,,,,,,21.0
22,,,,,,11.0
23,,,,,,13.0
24,,,,,18.0,
25,,,,,12.0,
26,,,,,,45.0
27,,,,,10.0,
28,,,,,,9.0
29,11.0,,,,,
30,,,,,,13.0
31,,,,,16.0,
32,,,,,26.0,
33,,,,,12.0,
34,,,,,36.0,
35,,,,,14.0,
36,,10.0,,,,
37,,,,,,13.0
38,,,,,14.0,
39,,,,,,13.0
40,,,,,,11.0
41,19.0,,,,,
42,,,,,38.0,
43,,,,,14.0,
44,,,,,,13.0
45,,,,,,15.0
46,,,,,24.0,
47,,,,,,9.0
48,15.0,,,,,
49,,10.0,,,,
