,ZERO_v5_started_ZERO_v5_won,UCT_3000_started_ZERO_v5_won,ZERO_v5_started_Tie,UCT_3000_started_Tie,ZERO_v5_started_UCT_3000_won,UCT_3000_started_UCT_3000_won
0,11.0,,,,,
1,9.0,,,,,
2,9.0,,,,,
3,,,,,44.0,
4,,14.0,,,,
5,,,64.0,,,
6,9.0,,,,,
7,,12.0,,,,
8,,,,,38.0,
9,,,,,,39.0
10,,,,,26.0,
11,9.0,,,,,
12,,,,,,27.0
13,17.0,,,,,
14,,,,,,13.0
15,,,,,14.0,
16,,,,,,59.0
17,17.0,,,,,
18,11.0,,,,,
19,9.0,,,,,
20,15.0,,,,,
21,,,,,,39.0
22,11.0,,,,,
23,,,,,,49.0
24,,20.0,,,,
25,,12.0,,,,
26,9.0,,,,,
27,9.0,,,,,
28,9.0,,,,,
29,,10.0,,,,
30,,10.0,,,,
31,19.0,,,,,
32,,,,,12.0,
33,,,,,24.0,
34,9.0,,,,,
35,,10.0,,,,
36,,26.0,,,,
37,9.0,,,,,
38,9.0,,,,,
39,19.0,,,,,
40,9.0,,,,,
41,15.0,,,,,
42,11.0,,,,,
43,11.0,,,,,
44,17.0,,,,,
45,,,64.0,,,
46,,,,,,35.0
47,9.0,,,,,
48,9.0,,,,,
49,,,,,,29.0
