[2023-12-26 21:06:27,423] kl: 0.15801, lrMultiplier: 0.667, loss: 4.45311, entropy: 3.52038, explVarOld: 0.000, explVarNew: 0.000
[2023-12-26 21:06:33,332] kl: 0.02889, lrMultiplier: 0.667, loss: 4.32686, entropy: 3.47538, explVarOld: 0.000, explVarNew: 0.000
[2023-12-26 21:06:37,229] kl: 0.03764, lrMultiplier: 0.667, loss: 4.31382, entropy: 3.35783, explVarOld: 0.000, explVarNew: 0.000
[2023-12-26 21:06:42,625] kl: 0.01992, lrMultiplier: 0.667, loss: 4.20998, entropy: 3.33768, explVarOld: 0.000, explVarNew: 0.000
[2023-12-26 21:06:49,817] kl: 0.03262, lrMultiplier: 0.667, loss: 4.12230, entropy: 3.30022, explVarOld: 0.000, explVarNew: 0.000
[2023-12-26 21:06:54,752] kl: 0.02456, lrMultiplier: 0.667, loss: 4.13093, entropy: 3.25093, explVarOld: 0.000, explVarNew: 0.000
[2023-12-26 21:06:59,130] kl: 0.02623, lrMultiplier: 0.667, loss: 4.09666, entropy: 3.18647, explVarOld: 0.000, explVarNew: 0.000
[2023-12-26 21:07:03,137] kl: 0.02328, lrMultiplier: 0.667, loss: 4.04999, entropy: 3.13058, explVarOld: 0.000, explVarNew: 0.000
[2023-12-26 21:07:06,910] kl: 0.02788, lrMultiplier: 0.667, loss: 4.10222, entropy: 3.13858, explVarOld: 0.000, explVarNew: 0.010
[2023-12-26 21:07:10,826] kl: 0.03422, lrMultiplier: 0.667, loss: 4.06092, entropy: 3.12274, explVarOld: 0.008, explVarNew: 0.028
[2023-12-26 21:07:14,802] kl: 0.04293, lrMultiplier: 0.444, loss: 4.01199, entropy: 3.01052, explVarOld: 0.030, explVarNew: 0.066
[2023-12-26 21:07:17,901] kl: 0.02350, lrMultiplier: 0.444, loss: 3.95520, entropy: 3.03904, explVarOld: 0.077, explVarNew: 0.085
[2023-12-26 21:07:21,641] kl: 0.02293, lrMultiplier: 0.444, loss: 3.98923, entropy: 3.01558, explVarOld: 0.103, explVarNew: 0.109
[2023-12-26 21:07:26,493] kl: 0.01966, lrMultiplier: 0.444, loss: 3.99682, entropy: 3.00526, explVarOld: 0.089, explVarNew: 0.095
[2023-12-26 21:07:31,632] kl: 0.04319, lrMultiplier: 0.296, loss: 3.85211, entropy: 2.89947, explVarOld: 0.098, explVarNew: 0.132
[2023-12-26 21:07:36,593] kl: 0.02211, lrMultiplier: 0.296, loss: 3.87146, entropy: 2.91216, explVarOld: 0.096, explVarNew: 0.075
[2023-12-26 21:07:40,900] kl: 0.03249, lrMultiplier: 0.296, loss: 3.87230, entropy: 2.97199, explVarOld: 0.081, explVarNew: 0.104
[2023-12-26 21:07:45,208] kl: 0.01841, lrMultiplier: 0.296, loss: 3.80670, entropy: 2.88009, explVarOld: 0.092, explVarNew: 0.102
[2023-12-26 21:07:49,679] kl: 0.01221, lrMultiplier: 0.296, loss: 3.68765, entropy: 2.87033, explVarOld: 0.085, explVarNew: 0.119
